filename,width,height,class,xmin,ymin,xmax,ymax
appy_fizz95.jpg,160,96,appyfizz,67,6,97,95
sprite315.jpg,160,96,sprite,71,6,111,95
fanta280.jpg,160,96,fanta,77,2,106,92
appy2_250.jpg,160,96,appy,49,17,117,83
appy1_185.jpg,160,96,appy,58,6,96,92
fanta5.jpg,160,96,fanta,76,2,105,93
fanta135.jpg,160,96,fanta,77,2,106,94
sprite275.jpg,160,96,sprite,71,4,110,95
appy1_230.jpg,160,96,appy,50,6,103,93
appy2_90.jpg,160,96,appy,43,22,123,83
appy2_330.jpg,160,96,appy,43,26,121,75
appy2_325.jpg,160,96,appy,41,24,121,76
appy2_85.jpg,160,96,appy,43,25,124,80
sprite260.jpg,160,96,sprite,71,5,109,95
fanta120.jpg,160,96,fanta,76,2,105,94
appy1_190.jpg,160,96,appy,58,6,96,92
appy2_245.jpg,160,96,appy,48,20,118,81
fanta295.jpg,160,96,fanta,77,2,106,92
appy_fizz105.jpg,160,96,appyfizz,68,6,97,95
sprite300.jpg,160,96,sprite,71,6,110,95
appy_fizz80.jpg,160,96,appyfizz,67,6,96,95
sprite470.jpg,160,96,sprite,70,4,109,95
appy2_290.jpg,160,96,appy,57,20,118,83
fanta30.jpg,160,96,fanta,75,2,105,92
sprite15.jpg,160,96,sprite,70,3,109,95
appy_fizz55.jpg,160,96,appyfizz,68,6,95,95
fanta240.jpg,160,96,fanta,78,2,108,93
sprite100.jpg,160,96,sprite,72,6,111,95
appy1_145.jpg,160,96,appy,49,5,99,93
appy_fizz305.jpg,160,96,appyfizz,72,6,102,95
appy2_125.jpg,160,96,appy,62,23,107,86
appy1_15.jpg,160,96,appy,61,4,96,91
sprite510.jpg,160,96,sprite,69,2,108,95
appy2_50.jpg,160,96,appy,44,23,121,78
fanta320.jpg,160,96,fanta,76,3,105,92
fanta335.jpg,160,96,fanta,75,3,105,93
appy2_45.jpg,160,96,appy,45,23,123,80
appy2_130.jpg,160,96,appy,66,24,110,85
appy_fizz310.jpg,160,96,appyfizz,72,6,102,95
sprite115.jpg,160,96,sprite,73,5,112,95
fanta255.jpg,160,96,fanta,77,2,107,93
appy_fizz40.jpg,160,96,appyfizz,69,7,98,95
sprite465.jpg,160,96,sprite,71,3,110,95
appy2_285.jpg,160,96,appy,61,20,115,82
fanta25.jpg,160,96,fanta,74,2,105,93
sprite475.jpg,160,96,sprite,70,3,110,95
appy2_295.jpg,160,96,appy,54,19,121,83
fanta35.jpg,160,96,fanta,75,3,105,93
appy_fizz50.jpg,160,96,appyfizz,68,6,97,95
sprite10.jpg,160,96,sprite,70,3,109,95
appy_fizz300.jpg,160,96,appyfizz,71,5,101,95
appy1_140.jpg,160,96,appy,50,5,100,93
appy_fizz260.jpg,160,96,appyfizz,67,6,96,95
appy2_120.jpg,160,96,appy,58,23,109,86
appy1_10.jpg,160,96,appy,60,5,95,91
sprite515.jpg,160,96,sprite,69,2,108,94
fanta325.jpg,160,96,fanta,75,2,105,92
appy2_55.jpg,160,96,appy,43,24,121,76
appy2_40.jpg,160,96,appy,46,22,123,81
sprite500.jpg,160,96,sprite,69,3,107,95
appy2_135.jpg,160,96,appy,66,23,115,85
appy_fizz275.jpg,160,96,appyfizz,68,6,98,95
sprite110.jpg,160,96,sprite,73,5,112,95
appy1_155.jpg,160,96,appy,50,5,97,93
appy_fizz315.jpg,160,96,appyfizz,73,5,103,95
appy_fizz45.jpg,160,96,appyfizz,69,6,97,95
fanta250.jpg,160,96,fanta,79,2,108,93
sprite460.jpg,160,96,sprite,70,4,110,95
fanta20.jpg,160,96,fanta,74,2,105,93
fanta285.jpg,160,96,fanta,76,2,106,92
appy_fizz115.jpg,160,96,appyfizz,69,5,99,95
appy2_255.jpg,160,96,appy,52,19,113,83
appy1_180.jpg,160,96,appy,56,5,92,92
fanta130.jpg,160,96,fanta,76,2,106,94
fanta0.jpg,160,96,fanta,76,2,105,92
appy2_95.jpg,160,96,appy,45,22,121,84
appy1_235.jpg,160,96,appy,52,6,101,92
sprite270.jpg,160,96,sprite,71,5,109,95
appy2_320.jpg,160,96,appy,45,23,123,78
sprite265.jpg,160,96,sprite,71,5,109,95
appy1_220.jpg,160,96,appy,53,5,102,94
appy2_80.jpg,160,96,appy,44,26,124,79
fanta125.jpg,160,96,fanta,75,1,106,93
appy1_195.jpg,160,96,appy,57,5,97,93
appy2_240.jpg,160,96,appy,49,20,121,81
appy_fizz85.jpg,160,96,appyfizz,66,6,96,95
sprite305.jpg,160,96,sprite,71,5,111,95
fanta290.jpg,160,96,fanta,76,1,106,92
